id,agg_type,unstack_cnn,context_lstm_dim,context_layer_num,context_lstm_drop_out,agg_(lstm or cnn)_dim,agg_layer_num,agg_self_att,window_size,mp,drop_out,type1,type2,type3,lr,char(em-ls),shared_attention,shared_aggregation,input_highway,match_highway,agg_highway,batch_size,converged_epoch,loss_type,modify_loss,train_map,valid_map,test_map,test_mrr,max_test_map,att_type,context_self
7.61,CNN,True,50,1,False,100,,,1,50,0.04,'mul','mul',None,0.002,,False,True,False,True,False,40,11,'list_wise',0.1,0.828883241257,0.724996509223,0.668536762176,0.68407368808,0.673512247187,'linear_p_bias',False
7.49,LSTM,False,50,1,False,50,1,False,,20,0.04,'mul','mul',None,0.002,,False,True,False,False,False,40,7,'list_wise',0.1,0.941350662601,0.719439235808,0.66797892776,0.6775260079,0.689512919817,'bilinear',False
7.33,LSTM,True,50,1,False,50,1,False,,100,0.04,'mul','w_sub_mul',None,0.002,,False,True,False,False,False,40,10,'list_wise',0.1,0.971072683208,0.720593295593,0.667180755071,0.67293504752,0.670978265171,'bilinear',False
7.30,LSTM,True,50,1,False,50,1,False,,100,0.04,'mul',None,None,0.002,,True,False,False,False,False,40,11,'list_wise',0.1,0.877251298725,0.742953940836,0.667100466099,0.68460575775,0.669333489812,'linear_p_bias',False
7.28,LSTM,False,50,1,False,50,1,False,,50,0.04,'mul','mul',None,0.002,,True,True,False,False,False,40,6,'list_wise',0.1,0.936697510109,0.72385390183,0.666312221973,0.67898320616,0.692411005314,'dot_product',False
7.4,CNN,False,50,1,False,100,,,1,20,0.04,'mul',None,None,0.002,,False,True,False,True,False,40,10,'list_wise',0.1,0.873237331079,0.697474174855,0.665488914525,0.67152821626,0.665488914525,'dot_product',False
7.54,CNN,False,50,1,False,100,,,1,20,0.04,'mul',None,None,0.002,,True,False,False,False,False,40,9,'list_wise',0.1,0.940530761898,0.727771893358,0.665036469589,0.67524158511,0.682510911194,'linear_p_bias',False
7.16,LSTM,False,50,1,False,50,1,False,,100,0.04,'mul','mul',None,0.002,,True,True,False,False,False,40,9,'list_wise',0.1,0.959414178523,0.703044133997,0.664694032248,0.67185550503,0.692054634693,'dot_product',False
7.62,LSTM,True,50,1,False,50,1,False,,50,0.04,'mul','mul',None,0.002,,True,False,False,False,False,40,12,'list_wise',0.1,0.956449175109,0.711762561366,0.66423257459,0.67139145719,0.699207642322,'bilinear',False
7.15,CNN,True,50,1,False,100,,,1,50,0.04,'mul','mul',None,0.002,,True,False,False,False,False,40,9,'list_wise',0.1,0.875603411336,0.713580819533,0.663710130189,0.6774753631,0.663710130189,'linear_p_bias',False
7.64,CNN,False,50,1,False,100,,,1,20,0.04,'mul','mul',None,0.002,,True,True,False,True,False,40,12,'list_wise',0.1,0.875214945577,0.691232279625,0.663487609784,0.674103617,0.667641015081,'dot_product',False
7.53,CNN,True,50,1,False,100,,,1,20,0.04,'mul','mul',None,0.002,,False,False,False,False,False,40,5,'list_wise',0.1,0.897010615302,0.734172738637,0.662136240531,0.67053656791,0.697897664179,'bilinear',False
7.7,CNN,True,50,1,False,100,,,1,100,0.04,'mul',None,None,0.002,,True,True,False,True,False,40,11,'list_wise',0.1,0.914441185409,0.742447976342,0.661665973487,0.67210315975,0.677402572577,'dot_product',False
7.17,CNN,True,50,1,False,100,,,1,50,0.04,'mul',None,None,0.002,,True,False,False,True,False,40,10,'list_wise',0.1,0.89831539994,0.730484495663,0.66165663544,0.66991170484,0.66804468965,'dot_product',False
7.24,LSTM,False,50,1,False,50,1,False,,50,0.04,'mul','w_sub_mul',None,0.002,,False,True,False,False,False,40,7,'list_wise',0.1,0.93342439166,0.724939078252,0.66125514947,0.67408117518,0.693476509589,'linear_p_bias',False
7.45,LSTM,True,50,1,False,50,1,False,,100,0.04,'mul','w_sub_mul',None,0.002,,True,True,False,False,False,40,8,'list_wise',0.1,0.924948184604,0.699817477496,0.660594724218,0.66889544287,0.684840770957,'linear_p_bias',False
7.39,LSTM,False,50,1,False,50,1,False,,100,0.04,'mul','w_sub_mul',None,0.002,,True,True,False,False,False,40,7,'list_wise',0.1,0.97107901625,0.71250890864,0.660590559955,0.66923051799,0.686368028942,'bilinear',False
7.44,CNN,False,50,1,False,100,,,1,100,0.04,'mul',None,None,0.002,,False,False,False,False,False,40,8,'list_wise',0.1,0.944836552518,0.735234041385,0.660456354883,0.66944080724,0.687900833734,'linear_p_bias',True
7.41,LSTM,True,50,1,False,50,1,False,,50,0.04,'mul','mul',None,0.002,,False,True,False,False,False,40,7,'list_wise',0.1,0.893633295323,0.744468351314,0.660450707251,0.67289396504,0.709718897055,'linear',False
7.3,CNN,True,50,1,False,100,,,1,50,0.04,'mul',None,None,0.002,,True,False,False,False,False,40,12,'list_wise',0.1,0.94725946552,0.730040429148,0.660132823214,0.67482217881,0.675184863148,'dot_product',True
7.66,CNN,True,50,1,False,100,,,1,20,0.04,'mul',None,None,0.002,,False,True,False,False,False,40,11,'list_wise',0.1,0.902030924765,0.720721943748,0.659974220062,0.670556898,0.700314387796,'linear',False
7.50,CNN,True,50,1,False,100,,,1,50,0.04,'mul',None,None,0.002,,False,True,False,True,False,40,11,'list_wise',0.1,0.873550262011,0.700300467077,0.658664641438,0.66939589902,0.659211212963,'linear_p_bias',False
7.25,LSTM,False,50,1,False,50,1,False,,100,0.04,'mul','mul',None,0.002,,True,True,False,False,False,40,3,'list_wise',0.1,0.946992802467,0.724828357269,0.657591292813,0.67127231268,0.687263587611,'linear',False
7.2,CNN,True,50,1,False,100,,,1,20,0.04,'mul','w_sub_mul',None,0.002,,True,False,False,True,False,40,8,'list_wise',0.1,0.86467405766,0.739532663679,0.655370280996,0.6699900865,0.668225288817,'linear',False
7.46,CNN,False,50,1,False,100,,,1,20,0.04,'mul',None,None,0.002,,True,False,False,False,False,40,11,'list_wise',0.1,0.952947140361,0.748088254338,0.654258055763,0.66278099262,0.679147339443,'bilinear',False
7.40,CNN,False,50,1,False,100,,,1,20,0.04,'mul','w_sub_mul',None,0.002,,False,True,False,False,False,40,7,'list_wise',0.1,0.91363352428,0.70758624092,0.653885353867,0.66482624599,0.666001446403,'linear_p_bias',True
7.35,CNN,True,50,1,False,100,,,1,100,0.04,'mul',None,None,0.002,,True,True,False,True,False,40,13,'list_wise',0.1,0.905742214353,0.705048644037,0.653788567366,0.66348746132,0.654271722366,'bilinear',False
7.10,CNN,False,50,1,False,100,,,1,20,0.04,'mul','w_sub_mul',None,0.002,,False,False,False,False,False,40,13,'list_wise',0.1,0.905240618624,0.713751103742,0.652409595329,0.66404510345,0.663709135935,'linear',False
7.8,LSTM,True,50,1,False,50,1,False,,20,0.04,'mul',None,None,0.002,,True,False,False,False,False,40,4,'list_wise',0.1,0.942662637654,0.70525706251,0.651788024684,0.656723066,0.676829187175,'bilinear',False
7.43,LSTM,True,50,1,False,50,1,False,,50,0.04,'mul','w_sub_mul',None,0.002,,False,False,False,False,False,40,4,'list_wise',0.1,0.949233940617,0.695841008639,0.651554034579,0.66225377635,0.689556537416,'bilinear',True
